Name,C_Type,Veg_Non
summer squash salad,healthy food,veg
chicken minced salad,healthy food,non-veg
sweet chilli almonds,snack,veg
tricolour salad,healthy food,veg
christmas cake,dessert,veg
japanese curry arancini with barley salsa,japanese,veg
chocolate nero cookies,dessert,veg
lamb and chargrilled bell pepper soup,healthy food,non-veg
cream of almond soup,healthy food,veg
broccoli and almond soup,healthy food,veg
coconut lime quinoa salad,healthy food,veg
lemon honey glazed sous vide corn on the cob,snack,non-veg
watermelon and strawberry smoothie,healthy food,veg
"peach, raspberry and nuts smoothie",healthy food,veg
almond and cranberry poha,indian,veg
almond and raw banana galawat,indian,veg
baked namakpara with roasted almond dip,snack,veg
grilled almond barfi,dessert,veg
baked shankarpali ,snack,veg
baked multigrain murukku,snack,veg
apple rabdi,dessert,veg
baked namak para,snack,veg
dates and nuts ladoo,dessert,veg
green lentil dessert fudge,dessert,veg
cashew nut cookies,dessert,veg
almond pearls,snack,veg
hawaiin papaya salad,healthy food,veg
vegetable som tam salad,healthy food,veg
spinach and feta crepes,french,veg
couscous with ratatouille - tangy tomato sauce,french,veg
baked almond kofta,snack,veg
almond and amaranth ladoo,dessert,veg
moong dal kiwi coconut soup,indian,veg
mixed berry & banana smoothie,healthy food,veg
banana walnut smoothie,healthy food,veg
spicy watermelon soup,healthy food,veg
red rice poha,indian,veg
mixed salad with lotus root,healthy food,veg
sweet potato and quinoa bowl,healthy food,veg
corn and raw mango salad,healthy food,veg
khichdi,indian,veg
sugar free modak,japanese,veg
beetroot modak,japanese,veg
andhra pan fried pomfret,indian,veg
ghee roast chicken dosa quesadilla,mexican,non-veg
steam bunny chicken bao,japanese,non-veg
meat lovers pizza,italian,non-veg
almond and chicken momos (without shell),chinese,non-veg
christmas tree pizza,italian,veg
french pork chop,french,veg
christmas chocolate fudge cookies,dessert,veg
chicken parmigiana with tomato sauce,italian,non-veg
chocolate appe,snack,veg
sous-vide salmon tikka,french,non-veg
filo pizza,italian,veg
chocolate samosa,snack,veg
fish with jamun sauce,indian,non-veg
dahi lasooni chicken,indian,non-veg
pesto fish kebabs,indian,non-veg
caramelized sesame smoked almonds,snack,veg
crunchy vegetable dal sattu croquettes,italian,veg
active charcoal modak,japanese,veg
flax seed and beetroot modak,japanese,veg
chocolate prunes gujiyas,japanese,veg
almond  white chocolate gujiya,japanese,veg
betel nut popsicle,dessert,veg
clotted cottage cheese croquettes,italian,veg
gajar tart,french,veg
banana and maple ice lollies,dessert,veg
shepherds salad (tamatar-kheera salaad),healthy food,veg
carrot ginger soup,healthy food,veg
dark night,beverage,veg
hot chocolate,beverage,veg
slow cooked spiced sangria,mexican,veg
detox haldi tea,beverage,veg
holi special ice tea thandai,beverage,veg
grilled lemon margarita,beverage,veg
spanish artichoke and spinach dip,mexican,veg
beetroot and green apple soup,healthy food,veg
baba budan no. 7,beverage,veg
fruit infused tea,beverage,veg
soya milk,beverage,veg
spiced coffee,beverage,veg
filter coffee,beverage,veg
garlic and pinenut soup with burnt butter essence,french,veg
roast turkey with cranberry sauce,healthy food,non-veg
roasted spring chicken with root veggies,healthy food,non-veg
peri peri chicken satay,snack,non-veg
chicken popcorn,chinese,non-veg
half roast chicken,healthy food,non-veg
chicken biryani,indian,non-veg
chicken farcha,indian,non-veg
buldak (hot and spicy chicken),japanese,non-veg
chicken sukka,indian,non-veg
steamed chicken roulade,french,non-veg
methi chicken masala,indian,non-veg
restaurant style fried chicken,chinese,non-veg
chicken potli,chinese,non-veg
spicy chicken masala,indian,non-veg
spicy chicken curry,indian,non-veg
crispy herb chicken,italian,non-veg
dahi chicken,indian,non-veg
amritsari chicken masala,indian,non-veg
chilli chicken,chinese,non-veg
chicken tenders,snack,non-veg
chicken nimbu dhaniya shorba,beverage,non-veg
garlic soya chicken,healthy food,non-veg
cauliflower and chicken biryani,indian,non-veg
chicken quinoa biryani,healthy food,non-veg
chicken and mushroom lasagna,italian,non-veg
plum and cherry roasted chicken,healthy food,non-veg
chicken roulade,french,non-veg
sticky rum chicken wings,snack,non-veg
chicken dragon,chinese,non-veg
chicken palwal,indian,non-veg
pan seared thigh of chicken,mexican,non-veg
